Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S21_Magnitude,S21_Phase,S22_Magnitude,S22_Phase,
2196634000,-17.73652711,-77.36257586,-18.61118864,156.1830033,10.7046746,-46.19238864,-15.3406269,123.9886384,
2208632000,-17.69306842,-78.82722946,-18.62821123,155.1448822,10.61758506,-46.91476687,-15.29383244,123.9874693,
2220630000,-17.643792,-80.38155247,-18.63880052,154.1707749,10.54150337,-47.44686094,-15.23461386,123.9059421,
2232628000,-17.59181646,-82.10357147,-18.63242318,153.0675569,10.49197248,-48.06951453,-15.18872969,123.7109975,
2244626000,-17.5602314,-83.73861178,-18.65198961,152.035583,10.49875795,-48.59125979,-15.17371323,123.3824592,
2256624000,-17.53947281,-85.5963182,-18.64779329,150.9848454,10.52477027,-49.1319825,-15.16457264,122.8281186,
2268622000,-17.51873599,-87.59857777,-18.65565228,150.1116687,10.59848384,-49.72896907,-15.20389761,122.068257,
2280620000,-17.49815972,-89.48240511,-18.65086456,149.0721384,10.68704951,-50.4039169,-15.25591506,121.0886955,
2292618000,-17.48375266,-91.33886664,-18.67282082,148.0400246,10.79760166,-51.25456113,-15.30363931,120.0646046,
2304616000,-17.50207434,-93.04327829,-18.66950652,146.9982955,10.91509951,-52.2779301,-15.35012938,119.2993798,
2316614000,-17.5368884,-94.94090904,-18.68937934,146.0390306,11.03756849,-53.37335562,-15.44414225,118.6936199,
2328612000,-17.57498614,-96.60892257,-18.69276675,144.9740471,11.151471,-54.66040704,-15.55284736,117.8884934,
2340610000,-17.6219527,-98.19806387,-18.68155809,144.0446387,11.26198173,-56.17154492,-15.63997915,117.1013107,
2352608000,-17.68636071,-99.88437279,-18.6997154,143.0267213,11.33525628,-57.80571813,-15.73592413,116.662222,
2364606000,-17.73079589,-101.1290473,-18.6833336,141.975705,11.39539043,-59.60466941,-15.85187292,116.1024455,
2376604000,-17.78761946,-102.5382329,-18.69295079,141.042175,11.44329182,-61.59892745,-15.95817551,115.7712263,
2388602000,-17.82996079,-103.8392705,-18.68375886,140.0051648,11.45690346,-63.5286804,-16.0209519,115.466096,
2400600000,-17.86135789,-105.0743255,-18.69588563,139.0713919,11.44429329,-65.48592182,-16.03783449,115.2108673,
2412598000,-17.84245875,-106.1377297,-18.69434094,137.9823857,11.41624063,-67.40953872,-16.02837159,115.196383,
2424596000,-17.80832259,-107.0077903,-18.70826832,136.9116439,11.34372193,-69.25176259,-15.97629644,115.2612094,
2436594000,-17.75538361,-107.8804835,-18.69303407,135.8350795,11.26683079,-71.07433591,-15.96813863,115.283076,
2448592000,-17.70132952,-109.1461916,-18.70055079,134.8580922,11.171388,-72.69382498,-15.92476026,114.768729,
2460590000,-17.61085769,-110.6622922,-18.67866768,133.8456637,11.05559709,-74.1383708,-15.82236573,114.234506,
2472588000,-17.5216089,-112.2657636,-18.67172027,132.9854216,10.94283954,-75.28584599,-15.69724842,113.8466848,
2484586000,-17.46503782,-114.1701145,-18.65035259,131.9229379,10.83319308,-76.23382527,-15.61470949,113.4499405,
2496584000,-17.41232765,-116.0659367,-18.64422218,130.9773108,10.73769093,-76.97514933,-15.58616203,112.8955464,
2508582000,-17.3756681,-118.2725199,-18.62950613,130.0738808,10.65212657,-77.55273705,-15.59089941,111.8432786,
