Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S22_Magnitude,S22_Phase,
63808888,0.002105794547,-77.95449709,-50.16666783,-39.40536546,-0.9286267794,170.0423148,
63866666,0.002284503114,-78.02642379,-50.00851196,-39.76231088,-0.9553982967,168.2374263,
63924444,0.003540369119,-78.10158888,-49.81862647,-41.43250243,-0.9811146334,166.4175773,
63982222,0.003776902852,-78.17939957,-49.55883589,-42.60050107,-1.007942825,164.6212717,
64040000,0.005673067402,-78.24571233,-49.45242982,-44.03862249,-1.033782518,162.8519503,
64097777,0.009859910148,-78.30236604,-49.29500299,-45.38917055,-1.055607634,161.0721684,
64155555,0.01272868491,-78.36984243,-49.17478008,-46.5764593,-1.076692761,159.3176845,
64213333,0.01294340848,-78.44620238,-49.00720208,-48.70825476,-1.097049409,157.5571257,
64271111,0.0149958604,-78.52300591,-48.85333648,-49.58886522,-1.111725652,155.7890426,
64328888,0.01722807484,-78.59181291,-48.73504999,-51.18291824,-1.121768544,154.0303995,
64386666,0.02029075236,-78.67135754,-48.64976789,-52.53147799,-1.129616146,152.2558351,
64444444,0.02334568716,-78.73581901,-48.4858059,-54.19587685,-1.133025884,150.4835556,
64502222,0.02558765627,-78.82380734,-48.4132122,-55.42379676,-1.134155506,148.692935,
64560000,0.0249516809,-78.88372774,-48.3406853,-57.59388109,-1.135047029,146.8808236,
64617777,0.02460137455,-78.9409888,-48.2105171,-59.06914337,-1.132199715,145.0381922,
64675555,0.02387781671,-79.01401067,-48.14416158,-60.75742957,-1.127980202,143.1681615,
64733333,0.02204733619,-79.07552749,-48.05432713,-62.02932614,-1.120733106,141.2444199,
64791111,0.0213887306,-79.14230882,-47.97870735,-63.51920074,-1.115038522,139.3089121,
64848888,0.020980094,-79.21942258,-47.94398566,-64.15921262,-1.105959875,137.3407244,
64906666,0.02119203394,-79.27531046,-47.7952538,-66.81174581,-1.099658757,135.3428589,
64964444,0.02047130936,-79.35939425,-47.81610326,-67.65850572,-1.089865864,133.3084851,
65022222,0.02100634321,-79.42786316,-47.68175852,-68.83122241,-1.082176652,131.2548281,
65080000,0.02162026724,-79.49684976,-47.57572751,-70.84464463,-1.073782588,129.1610953,
65137777,0.02239152031,-79.5695669,-47.52408741,-71.60141349,-1.067990639,127.0354891,
65195555,0.02255172496,-79.64516856,-47.51598521,-72.68849024,-1.064328554,124.9054856,
65253333,0.02507621138,-79.71003945,-47.35026462,-74.16966032,-1.059473097,122.7505394,
65311111,0.02581121064,-79.77691754,-47.34515808,-75.08661867,-1.055428796,120.5573913,
65368888,0.02819206842,-79.84147405,-47.22636009,-76.6574931,-1.050764764,118.3565465,
65426666,0.03176734762,-79.91049737,-47.12118809,-77.89921601,-1.047742453,116.1131889,
65484444,0.03209808422,-79.98778673,-47.07574467,-79.6253477,-1.044691388,113.853787,
65542222,0.03088809187,-80.06868091,-47.00127211,-80.75121021,-1.044274303,111.5709533,
65600000,0.03383111097,-80.12058348,-47.05132142,-81.02700459,-1.061423133,109.3184456,
65657777,0.03207909842,-80.20236929,-46.84960235,-82.64363296,-1.044427149,106.9415389,
65715555,0.03253781548,-80.26069667,-46.74666021,-84.87301031,-1.045904694,104.5975964,
65773333,0.02967635449,-80.33583023,-46.66655933,-85.42902643,-1.045986127,102.2263502,
65831111,0.03116349308,-80.39962917,-46.5799335,-87.15216208,-1.04765462,99.82938741,
65888888,0.03148960332,-80.48344971,-46.49888869,-88.44266089,-1.049608407,97.41483517,
65946666,0.02998280123,-80.54809888,-46.33052553,-89.19616872,-1.051045901,94.95966482,
66004444,0.02979927649,-80.60554505,-46.30041372,-90.61612204,-1.053591541,92.49595875,
66062222,0.03082214909,-80.67658069,-46.22729775,-92.18306079,-1.054985962,90.01158389,
66120000,0.03213991784,-80.74099056,-46.11004498,-93.50706492,-1.057632559,87.49801919,
66177777,0.03331176343,-80.81351519,-45.99791979,-94.58122978,-1.061617137,84.93638111,
66235555,0.03520327787,-80.89355024,-45.93765347,-95.60410911,-1.06480098,82.36926903,
66293333,0.0362426045,-80.95013453,-45.84921775,-97.48084756,-1.068833803,79.77786456,
66351111,0.03795682717,-81.03070785,-45.78684447,-98.0641589,-1.072839156,77.1465931,
66408888,0.03751533764,-81.09948128,-45.66453707,-99.88991847,-1.077155332,74.49237874,
66466666,0.03778713457,-81.17326767,-45.52310478,-100.7199732,-1.082568165,71.8257747,
66524444,0.03765315824,-81.2308393,-45.4596373,-102.6495673,-1.088359939,69.11167317,
66582222,0.03732209418,-81.33404888,-45.38535501,-103.8410404,-1.093089133,66.38050367,
66640000,0.03778605895,-81.39235953,-45.24180023,-105.2480693,-1.099214161,63.60251795,
66697777,0.03748105185,-81.45757097,-45.17785515,-106.5833963,-1.103299049,60.79457241,
66755555,0.03703349336,-81.52575805,-45.03678866,-108.0651531,-1.109098921,57.99044791,
66813333,0.03743321175,-81.60462885,-44.98869164,-109.1989642,-1.113385969,55.15269308,
66871111,0.03564703315,-81.65840277,-44.88932433,-110.8878628,-1.116563962,52.26411777,
66928888,0.03664696816,-81.73056378,-44.81311726,-112.344111,-1.120547642,49.35235986,
66986666,0.03494303371,-81.8134972,-44.70835812,-113.9777158,-1.125612245,46.41171143,
67044444,0.03565704253,-81.87437531,-44.61580204,-115.2776551,-1.129661351,43.43428315,
67102222,0.03564684404,-81.93225106,-44.52190954,-117.0736389,-1.133657351,40.42978806,
