Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Real,S11_Imaginary,S11_Quality Factor
39044444,-2.193471072,0.7768308181,143.1380715,-0.6215294769,0.4660120485,-0.7497826987
39126666,-2.241066504,0.7725857167,142.1334259,-0.6099118603,0.4742322346,-0.777542241
39208888,-2.290933368,0.768162906,141.0863657,-0.5977027133,0.4825201723,-0.8072912529
39291111,-2.345555225,0.7633474142,140.0800237,-0.585442782,0.4898530633,-0.8367223551
39373333,-2.404013832,0.7582271101,139.0886159,-0.5730099419,0.4965560966,-0.8665750107
39455555,-2.465410493,0.7528864401,138.1120456,-0.5604877647,0.5026842521,-0.8968692696
39537777,-2.532552294,0.7470890745,137.1472654,-0.5476941395,0.5081074835,-0.927721235
39620000,-2.601693424,0.7411657276,136.1988687,-0.5349338153,0.5130033616,-0.959003426
39702222,-2.673529249,0.7350612648,135.2274258,-0.5218258301,0.5176995906,-0.9920926884
39784444,-2.751778471,0.7284690023,134.3125467,-0.5088880422,0.521248547,-1.024289242
39866666,-2.838835061,0.7212041996,133.4043966,-0.4955706065,0.523970678,-1.057307821
39948888,-2.92665428,0.7139491584,132.5316837,-0.4826280659,0.5261117284,-1.090097666
40031111,-3.021325015,0.7062098152,131.6843674,-0.4696483246,0.527411371,-1.122992127
40113333,-3.122246449,0.6980518422,130.8866801,-0.4569203584,0.5277311442,-1.154974022
40195555,-3.228789447,0.689541688,130.1398373,-0.4445167156,0.5271362528,-1.185863735
40277777,-3.338516485,0.6808856413,129.4601082,-0.4327306243,0.5256895123,-1.214819296
40360000,-3.456378001,0.6717088959,128.8512408,-0.4213633525,0.523111619,-1.241473934
40442222,-3.574037096,0.6626712745,128.3208625,-0.4108990939,0.5198991755,-1.265272139
40524444,-3.692253236,0.653713326,127.8531488,-0.4011444847,0.5161629733,-1.286725838
40606666,-3.811241352,0.6448191583,127.5316115,-0.3928232182,0.5113527806,-1.301737669
40688888,-3.927629909,0.6362363889,127.2739262,-0.3853215151,0.5062845767,-1.313927608
40771111,-4.034786842,0.6284354244,127.145768,-0.3794775307,0.500927027,-1.320043972
40853333,-4.132511953,0.621404512,127.0999995,-0.3748361606,0.4956222557,-1.322237041
40935555,-4.220696499,0.6151275452,127.1477509,-0.3714586038,0.4903064374,-1.319949067
41017777,-4.294450557,0.6099264568,127.2746642,-0.369393778,0.4853437127,-1.313892495
41100000,-4.344471667,0.6064240502,127.3930024,-0.3682684773,0.4817971122,-1.308276819
41182222,-4.39217466,0.603102692,127.7065964,-0.3688685403,0.4771465782,-1.293540994
41264444,-4.409475064,0.6019026381,127.9676039,-0.3703000259,0.4745152015,-1.281434427
41346666,-4.410955462,0.6018000603,128.2156515,-0.3722873861,0.4728270452,-1.270059269
41428888,-4.396200595,0.602823217,128.4594444,-0.3749322462,0.472039873,-1.259000467
41511111,-4.366131316,0.6049137192,128.6567977,-0.3778617848,0.4723781104,-1.250134651
41593333,-4.317443815,0.6083139967,128.8048435,-0.3812119443,0.4740499679,-1.243533879
41675555,-4.258003498,0.6124911602,128.8517508,-0.3842202803,0.4769907729,-1.241451317
41757777,-4.187236129,0.6175017512,128.8747445,-0.3875564203,0.4807373855,-1.240432
41840000,-4.113373123,0.6227752487,128.821347,-0.3904141478,0.4852069699,-1.242800684
41922222,-4.033797365,0.6285070184,128.6507307,-0.3925474605,0.4908437261,-1.250406066
42004444,-3.948099658,0.6347387571,128.4128993,-0.3943785516,0.497351835,-1.261102646
42086666,-3.860941955,0.6411400434,128.1256295,-0.3958320568,0.5043585412,-1.274173055
42168888,-3.777203309,0.6473510169,127.7409598,-0.396238713,0.511916225,-1.291938945
42251111,-3.691797664,0.653747614,127.3132045,-0.3962833092,0.5199475759,-1.312060245
42333333,-3.614048783,0.6596256891,126.8221677,-0.395335678,0.5280300667,-1.33564992
42415555,-3.533044748,0.665806089,126.3124805,-0.3942828536,0.5365060853,-1.360713712
42497777,-3.456608452,0.6716910745,125.7390691,-0.3923312792,0.5452018589,-1.389646678
42580000,-3.383187063,0.6773929102,125.1376873,-0.3898689374,0.5539524947,-1.420868506
42662222,-3.316116422,0.6826438451,124.4735452,-0.3863939316,0.5627631375,-1.456449213
42744444,-3.249075051,0.6879331655,123.8063034,-0.3827570929,0.5716196708,-1.493426723
42826666,-3.187927146,0.6927932422,123.1123373,-0.3784607071,0.5802843868,-1.533275122
42908888,-3.128909542,0.6975165601,122.4186092,-0.3739393238,0.5888112887,-1.574617194
42991111,-3.073896689,0.7019483629,121.7035447,-0.3688909124,0.5972026448,-1.618913952
43073333,-3.02247713,0.7061161482,120.9723348,-0.3633844104,0.6054352029,-1.666101202
43155555,-2.972696218,0.7101746879,120.2247135,-0.3574967464,0.6136319448,-1.716468614
43237777,-2.927985284,0.713839763,119.4703032,-0.351189449,0.6214766111,-1.769633493
43320000,-2.889239136,0.7170311831,118.7028117,-0.3443660869,0.6289242528,-1.826324591
43402222,-2.8473382,0.720498515,117.9491013,-0.3376882959,0.6364626657,-1.88476377
43484444,-2.808472778,0.723729643,117.18761,-0.3306761143,0.6437685171,-1.946824973
43566666,-2.775197522,0.7265075366,116.4253834,-0.3233190711,0.6505981702,-2.01224805
43648888,-2.743246386,0.7291849235,115.673102,-0.315909173,0.6572001576,-2.080345282
43731111,-2.712731025,0.7317512092,114.8971687,-0.3080606668,0.6637457779,-2.154594369
43813333,-2.684194957,0.7341592113,114.135655,-0.3001965531,0.6699789378,-2.231800901
43895555,-2.655850744,0.7365588682,113.386321,-0.2923614064,0.6760501271,-2.312378147
43977777,-2.6315584,0.7386217295,112.6320995,-0.2842308615,0.6817439964,-2.39855726
44060000,-2.606948357,0.7407174605,111.8867348,-0.276119439,0.6873284598,-2.489243287
44142222,-2.58323559,0.7427424066,111.1398438,-0.2678667081,0.6927580452,-2.586204348
44224444,-2.561794471,0.7445781311,110.3601857,-0.2590541114,0.6980598546,-2.694648816
44306666,-2.543467748,0.7461508062,109.6133236,-0.2504609093,0.7028587045,-2.806261091
44388888,-2.522089485,0.7479895419,108.8682721,-0.2418949323,0.7077960133,-2.926047299
44471111,-2.505516803,0.7494180687,108.1145935,-0.2330079565,0.7122743389,-3.056867025
44553333,-2.489642461,0.7507889584,107.391703,-0.2244127757,0.7164656071,-3.192623971
44635555,-2.474213309,0.7521238052,106.6392762,-0.2153670636,0.7206297567,-3.346053684
44717777,-2.4576683,0.7535578269,105.8952568,-0.2063841165,0.7247447791,-3.511630601
44800000,-2.445566052,0.7546085079,105.1539477,-0.1972648127,0.7283684465,-3.692338417
44882222,-2.428954771,0.7560530356,104.4681627,-0.1888938015,0.7320760372,-3.875595871
44964444,-2.415171978,0.7572536949,103.7527235,-0.1800234843,0.7355438149,-4.085821457
45046666,-2.404700341,0.7581671843,103.0036812,-0.1705979698,0.7387244493,-4.330206568
45128888,-2.39126593,0.7593407441,102.2932458,-0.1616751927,0.7419295773,-4.589013099
45211111,-2.380631069,0.7602710378,101.5788876,-0.1525992859,0.7447989721,-4.88075005
45293333,-2.370593583,0.7611501212,100.8629225,-0.1434463174,0.7475109772,-5.21108517
45375555,-2.360929826,0.7619974337,100.170669,-0.1345541816,0.7500235071,-5.574137482
45457777,-2.353822184,0.7626212295,99.43256337,-0.1249834327,0.7523099635,-6.019277494
45540000,-2.347096231,0.763211997,98.75421714,-0.116157914,0.7543208146,-6.493925284
45622222,-2.337699374,0.7640381271,98.04308441,-0.1069024638,0.7565223876,-7.076753523
