% Model:              dipoleDriveBox_2.3.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Feb 3 2022, 22:20
% Table:              Table 16 - abs Ex
% freq (MHz)                                      Point average: 20*log10(abs(emw.Ex))              Point average: 20*log10(abs(emw.Ey))              Point average: 20*log10(abs(emw.Ez))
194                                               -33.47793745115875                                -45.06195127915386                                -53.187707962410066
194.5                                             -29.362656558189386                               -41.11365379011562                                -50.78976919248915
195                                               -18.82712584847912                                -30.718160631798508                               -42.57742083650111
195.5                                             -22.825263744695388                               -34.62997604069135                                -45.84741445979305
196                                               -30.251214507983853                               -36.22598529064016                                -45.87186077884735
196.5                                             -28.08009820381144                                -28.738333155268307                               -37.83857262356149
197                                               -34.63614383845141                                -41.347720340840695                               -48.26169628864113
197.5                                             -35.82263707346903                                -45.26516341315238                                -49.84746742364023
198                                               -35.79072295286171                                -46.41871028751164                                -49.04680861838806
198.5                                             -34.742432888694175                               -45.81160967352973                                -47.207220968717984
199                                               -32.31842204529515                                -42.93760535276651                                -43.820083797401516
199.5                                             -25.611759397496137                               -35.04155497339195                                -35.33014791588735
200                                               -24.609259266244145                               -34.387927978938755                               -34.36460671985929
200.5                                             -28.270004175622876                               -42.49267758914528                                -42.22074692344882
201                                               -24.529147906268186                               -43.71580968986136                                -41.54673000817818
201.5                                             -15.29030133825017                                -35.42636874835064                                -30.974348184649426
202                                               -14.393481103156219                               -44.011562675952575                               -41.03863397290216
202.5                                             -24.129478743391516                               -47.13220224194354                                -46.48988708986106
203                                               -28.533035110082846                               -48.14747501177894                                -48.74114081921939
203.5                                             -31.253668360660235                               -48.428332644709016                               -49.87948245001557
204                                               -32.37566565799235                                -48.30990000488741                                -50.49518039474031
204.5                                             -31.082300791222274                               -47.71640393674799                                -50.55916163111624
205                                               -19.95164659816252                                -46.796765534102526                               -50.00926194247093
205.5                                             -31.829629691339193                               -45.577502744314145                               -49.61117132790753
206                                               -31.582052650277248                               -43.84466820139297                                -48.450401945709345
206.5                                             -29.300181364930978                               -41.42664675110055                                -46.59283337662584
207                                               -25.052257690725288                               -37.40941212334474                                -43.15705623311441
207.5                                             -13.601822059185771                               -26.24063264713737                                -32.7138170034849
208                                               -19.50834382622993                                -31.99850250298329                                -38.425521159848444
208.5                                             -25.590509117349                                  -31.690510646600746                               -36.00095971343302
