Frequency (MHz)		Gain (dB)
15.0695621967		72.4339087881
15.1061832905		72.4804911483
15.1428043842		72.3980340919
15.179425478		72.3874615272
15.2160465717		72.4139610715
15.2526676655		72.4968355032
15.2892887592		72.5006245137
15.325909853		72.504590394
15.3625309467		72.422666744
15.3991520405		72.5145719608
15.4357731342		72.5166783096
15.472394228		72.5239620965
15.5090153217		72.5283004739
15.5456364155		72.5319387072
15.5822575092		72.6204099406
15.618878603		72.6415695325
15.6554996967		72.6454797719
15.6921207905		72.617165161
15.7287418842		72.605823353
15.765362978		72.6597568104
15.8019840717		72.6622233792
15.8386051655		72.6676840259
15.8752262592		72.6682628302
15.911847353		72.6727848348
15.9484684467		72.6753139528
15.9850895405		72.7509413082
16.0217106342		72.7853589148
16.058331728		72.789508813
16.0949528217		72.7927741554
16.1315739155		72.8012121008
16.1681950092		72.8057598036
16.204816103		72.8093547618
16.2414371967		72.8144858479
16.2780582905		72.8189545571
16.3146793842		72.8257648527
16.351300478		72.8298753126
16.3879215717		72.8368323665
16.4245426655		72.8392559201
16.4611637592		72.8488893175
16.497784853		72.8500128271
16.5344059467		72.8581617346
16.5710270405		72.8965301993
16.6076481342		73.0175327505
16.644269228		73.0052438459
16.6808903217		72.9789120383
16.7175114155		72.9805053429
16.7541325092		72.9896897459
16.790753603		72.9596660419
16.8273746967		72.894717542
16.8639957905		72.9687472963
16.9006168842		73.0095089726
16.937237978		73.0130362385
16.9738590717		73.0243198659
17.0104801655		73.0280778007
17.0471012592		73.032423225
17.083722353		73.1054025254
17.1203434467		73.0601226468
17.1569645405		73.0525015496
17.1935856342		73.0563421202
17.230206728		73.0942407802
17.2668278217		73.1186163357
17.3034489155		73.0711575847
17.3400700092		73.0739115516
17.376691103		73.1822738302
17.4133121967		73.0847592196
17.4499332905		73.0959428375
17.4865543842		73.1000309006
17.523175478		73.1035606611
17.5597965717		73.1113815657
17.5964176655		73.2161033584
17.6330387592		73.2226198053
17.669659853		73.2286334678
17.7062809467		73.2362360136
17.7429020405		73.2400792089
17.7795231342		73.2459763759
17.816144228		73.2541772903
17.8527653217		73.2612733899
17.8893864155		73.2666507562
17.9260075092		73.274815022
17.962628603		73.2841423806
17.9992496967		73.2877968422
18.0358707905		73.3954991895
18.0724918842		73.3013001542
18.109112978		73.3081552316
18.1457340717		73.2682312341
18.1823551655		73.2873232749
18.2189762592		73.3297465568
18.255597353		73.3360907971
18.2922184467		73.3448605916
18.3288395405		73.3525593388
18.3654606342		73.3572152306
18.402081728		73.2943449169
18.4387028217		73.2698554973
18.4753239155		73.2778148883
18.5119450092		73.2839188108
18.548566103		73.290669295
18.5851871967		73.2955104702
18.6218082905		73.3035265495
18.6584293842		73.3100840821
18.695050478		73.3162776648
18.7316715717		73.3127451763
18.7682926655		73.2325703961
18.8049137592		73.2380849845
18.841534853		73.3143095961
18.8781559467		73.2758802459
18.9147770405		73.2676440776
18.9513981342		73.2759024198
18.988019228		73.2827822532
19.0246403217		73.2912446204
19.0612614155		73.2979583988
19.0978825092		73.3079733552
19.134503603		73.315267969
19.1711246967		73.3095603802
19.2077457905		73.2304742137
19.2443668842		73.2405311929
19.280987978		73.2473443266
19.3176090717		73.2564554201
19.3542301655		73.2622955828
19.3908512592		73.2693820806
19.427472353		73.3067271591
19.4640934467		73.3407868119
19.5007145405		73.2914864213
19.5373356342		73.2971527882
19.573956728		73.3057567777
19.6105778217		73.3095118177
19.6471989155		73.3523524954
19.6838200092		73.4319081994
19.720441103		73.4381493081
19.7570621967		73.3678940701
19.7936832905		73.3562838701
19.8303043842		73.3646809344
19.866925478		73.3685468334
