Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Real,S11_Imaginary,S11_Quality Factor,S11_Group delay
35422222,-0.6719767298,0.92555272439063,-177.5768366,-0.9247251128,-0.03913197473,-0.04231741324,3.373044939E-08
35511111,-0.6768873408,0.925029606432265,-178.6439445,-0.9247705377,-0.02189121831,-0.02367205422,3.332055766E-08
35600000,-0.66527212,0.926267431315578,-179.7398972,-0.9262578869,-0.004204916337,-0.004539682087,3.336336851E-08
35688888,-0.6823733781,0.924445539070191,179.2442737,-0.9243651256,0.01219300181,-0.01319067701,3.337442027E-08
35777777,-0.6844361525,0.924226022560523,178.1409087,-0.9237395411,0.02998334395,-0.03245865595,3.352842245E-08
35866666,-0.6857819903,0.924082829173466,177.0757988,-0.9228795791,0.04714188775,-0.05108129903,3.371767407E-08
35955555,-0.689187444,0.923720597485188,175.979786,-0.9214476703,0.06476058294,-0.07028134644,3.348897652E-08
36044444,-0.6931726954,0.923296874116476,174.9300005,-0.9196844516,0.08159428456,-0.08871986954,3.305752351E-08
36133333,-0.7106361819,0.921442396921509,173.8555649,-0.9161489253,0.09862675892,-0.1076536316,3.271511031E-08
36222222,-0.6996160211,0.922612212360056,172.8486989,-0.9154350927,0.1148559333,-0.1254659497,3.244064406E-08
36311111,-0.7031406658,0.922237901762135,171.7860126,-0.9127770154,0.1317606455,-0.1443514059,3.243914324E-08
36400000,-0.7091936263,0.921595443106864,170.7742671,-0.9096740153,0.1477543453,-0.1624255973,0.0000000326142749
36488888,-0.7113862522,0.921362829167053,169.7025114,-0.9065223223,0.1647019795,-0.18168552,3.257779933E-08
36577777,-0.7128404704,0.92120858469756,168.672159,-0.9032628235,0.1809462024,-0.2003250856,0.0000000325907438
36666666,-0.7189020902,0.920565925347204,167.6246709,-0.8991762541,0.1972908692,-0.2194128996,3.231633104E-08
36755555,-0.7219145674,0.920246706115943,166.5986619,-0.8951888166,0.2132861521,-0.2382582849,3.225499223E-08
36844444,-0.7257350909,0.919842020907906,165.5686406,-0.8908181553,0.2292430099,-0.2573398494,3.224344959E-08
36933333,-0.7290833814,0.919487502847516,164.5393689,-0.88621479,0.2451134713,-0.2765847219,3.238046879E-08
37022222,-0.7335965527,0.919009863037093,163.4953589,-0.8811436478,0.2610842781,-0.2963016062,3.757487608E-08
37111111,-0.737772655,0.918568117067418,162.4544212,-0.8758339744,0.2769155738,-0.3161735921,3.508913603E-08
37200000,-0.785854966,0.913497265593236,160.5991268,-0.8616266943,0.3034414177,-0.3521727213,3.278331593E-08
37288888,-0.7443727094,0.917870399617954,160.3732162,-0.8645426233,0.3083052433,-0.3566108078,3.040986583E-08
37377777,-0.7489702189,0.917384692173235,159.2906243,-0.8581089599,0.3244128332,-0.3780555249,2.885881961E-08
37466666,-0.7504798624,0.917225260779391,158.2431425,-0.8518868991,0.339986603,-0.399098288,3.538920007E-08
37555555,-0.7531606075,0.916942219222887,157.0467467,-0.8443417953,0.3575891023,-0.4235122604,3.607303749E-08
37644444,-0.7527091293,0.916989881603951,155.832876,-0.8366204659,0.3754152886,-0.448728311,3.546848249E-08
37733333,-0.754972631,0.916750949517655,154.7240644,-0.8289830117,0.3914325864,-0.4721840868,3.386704506E-08
37822222,-0.7580995384,0.916420979932004,153.7295194,-0.8217680601,0.4056164049,-0.4935898882,3.249816982E-08
37911111,-0.7621719916,0.915991408876489,152.679691,-0.8138167848,0.4204075427,-0.5165874563,3.187596293E-08
38000000,-0.7655494212,0.915635303143332,151.655349,-0.8058576127,0.4347200437,-0.5394501918,3.171473647E-08
38088888,-0.7674393203,0.915436098437514,150.6609892,-0.7980184797,0.4485418112,-0.562069454,3.112284596E-08
38177777,-0.7712313313,0.915036532444248,149.6645061,-0.7897523272,0.4621505355,-0.5851841388,3.101682962E-08
38266666,-0.7752208562,0.914616342580049,148.6955069,-0.7814647455,0.4752219541,-0.6081169456,0.0000000310653572
