Frequency,S21_Magnitude,
2385614385.6143856,33.903355339453384,
2391608391.608392,33.89990641460431,
2397602397.6023974,33.89645748975524,
2403596403.5964036,33.893008564906175,
2409590409.5904098,33.8895596400571,
2415584415.5844154,33.86216116787752,
2421578421.5784216,33.83456976908496,
2427572427.5724277,33.8069783702924,
2433566433.5664334,33.77938697149985,
2439560439.5604396,33.75179557270729,
2445554445.5544457,33.724204173914735,
2451548451.5484514,33.68673788658412,
2457542457.5424576,33.64879971324435,
2463536463.5364637,33.61086153990458,
2469530469.5304694,33.57292336656482,
2475524475.5244756,33.534985193225054,
2481518481.5184813,33.497047019885294,
2487512487.5124874,33.5286705392078,
2493506493.5064936,33.56660871254757,
2499500499.5004992,33.60454688588733,
2505494505.4945054,33.6424850592271,
2511488511.4885116,33.680423232566866,
2517482517.4825172,33.71836140590663,
2523476523.4765234,33.71688148976499,
2529470529.4705296,33.709983640066845,
2535464535.464535,33.70308579036871,
2541458541.4585414,33.69618794067057,
2547452547.4525476,33.68929009097243,
2553446553.446553,33.682392241274286,
2559440559.4405594,33.68710409692681,
2565434565.4345655,33.69400194662495,
2571428571.428571,33.70089979632309,
2577422577.4225774,33.70779764602123,
2583416583.4165835,33.71469549571937,
2589410589.410589,33.72159334541751,
2595404595.4045954,33.734036579007636,
2601398601.3986015,33.74783227840391,
2607392607.392607,33.76162797780019,
2613386613.3866134,33.775423677196464,
2619380619.3806195,33.78921937659274,
2625374625.374625,33.803015075989016,
2631368631.3686314,33.74545092141871,
2637362637.3626375,33.666125649890105,
2643356643.356643,33.58680037836151,
2649350649.3506494,33.507475106832906,
2655344655.3446555,33.4281498353043,
2661338661.338661,33.34882456377571,
2667332667.3326674,33.33232987131323,
2673326673.3266735,33.33922772101137,
2679320679.320679,33.3461255707095,
2685314685.3146853,33.353023420407645,
2691308691.3086915,33.35992127010578,
2697302697.302697,33.366819119803914,
2703296703.2967033,33.35226557056332,
2709290709.2907095,33.328123096619834,
2715284715.284715,33.30398062267635,
2721278721.2787213,33.279838148732864,
2727272727.272727,33.25569567478938,
2733266733.266733,33.23155320084589,
2739260739.2607393,33.23896328821257,
2745254745.254745,33.26310576215605,
2751248751.248751,33.287248236099536,
2757242757.2427573,33.31139071004302,
2763236763.236763,33.335533183986506,
2769230769.230769,33.35967565792999,
2775224775.2247753,33.37744607191061,
2781218781.218781,33.39124177130689,
2787212787.212787,33.405037470703164,
2793206793.2067933,33.41883317009945,
2799200799.200799,33.43262886949572,
2805194805.194805,33.446424568892006,
2811188811.1888113,33.44027741232878,
2817182817.182817,33.419583863234365,
2823176823.176823,33.39889031413995,
2829170829.1708293,33.37819676504553,
2835164835.164835,33.35750321595111,
2841158841.158841,33.336809666856695,
2847152847.1528473,33.32357432257938,
2853146853.146853,33.31667647288125,
2859140859.140859,33.30977862318311,
2865134865.1348653,33.302880773484965,
2871128871.128871,33.29598292378683,
2877122877.122877,33.28908507408869,
2883116883.1168833,33.27177832351493,
2889110889.110889,33.24418692472238,
2895104895.104895,33.21659552592982,
2901098901.0989013,33.18900412713726,
2907092907.092907,33.16141272834471,
2913086913.086913,33.13382132955215,
2919080919.0809193,33.10301976591773,
2925074925.074925,33.068530517427035,
2931068931.068931,33.03404126893634,
2937062937.0629373,32.99955202044565,
2943056943.056943,32.965062771954955,
2949050949.050949,32.930573523464254,
2955044955.044955,32.90936240723686,
2961038961.038961,32.90591348238779,
2967032967.032967,32.90246455753872,
