,can freq,num bins,idx,idx absolute,delta
61,151.60798803405646,1,2841165,4239266,3415.0
62,152.1575548322253,1,2856532,4254633,15367.0
63,153.2872656142488,1,2888121,4286222,31589.0
64,153.31780703714438,2,2888975,4287076,854.0
65,153.4410813752252,1,2892422,4290523,3447.0
66,153.50098404893723,1,2894097,4292198,1675.0
67,153.56203113193808,3,2895804,4293905,1707.0
68,153.62311397772922,1,2897512,4295613,1708.0
69,153.68416106073008,3,2899219,4297320,1707.0
70,153.8673738353132,1,2904342,4302443,5123.0
71,154.11163369289721,1,2911172,4309273,6830.0
72,154.23372785889893,4,2914586,4312687,3414.0
73,154.3558935504812,1,2918002,4316103,3416.0
74,154.4780234792732,1,2921417,4319518,3415.0
75,154.6917419139616,1,2927393,4325494,5976.0
76,154.78333041985803,3,2929954,4328055,2561.0
77,154.8138718427536,1,2930808,4328909,854.0
78,154.84441326564917,1,2931662,4329763,854.0
79,154.90546034865002,3,2933369,4331470,1707.0
80,154.96654319444116,1,2935077,4333178,1708.0
81,154.99883699406024,2,2935980,4334081,903.0
82,155.51610999260998,1,2950444,4348545,14464.0
83,155.57715707561084,5,2952151,4350252,1707.0
84,155.6382041586117,4,2953858,4351959,1707.0
85,155.69928700440283,3,2955566,4353667,1708.0
86,155.76036985019397,1,2957274,4355375,1708.0
87,155.82141693319483,2,2958981,4357082,1707.0
88,155.88246401619568,4,2960688,4358789,1707.0
89,155.94354686198682,2,2962396,4360497,1708.0
90,155.97305116396439,25,2963221,4361322,825.0
91,156.03517113067352,1,2964958,4363059,1737.0
92,156.24888956536194,1,2970934,4369035,5976.0
93,156.37098373136365,4,2974348,4372449,3414.0
94,156.43206657715479,3,2976056,4374157,1708.0
95,156.49311366015564,4,2977763,4375864,1707.0
96,156.67632643473877,3,2982886,4380987,5123.0
97,157.04271622111474,3,2993131,4391232,10245.0
98,157.22592899569787,1,2998254,4396355,5123.0
99,157.34805892448986,1,3001669,4399770,3415.0
100,157.59228301928357,3,3008498,4406599,6829.0
101,157.8976257226587,2,3017036,4415137,8538.0
102,158.14188558024267,2,3023866,4421967,6830.0
103,158.20293266324353,3,3025573,4423674,1707.0
104,158.32506259203552,2,3028988,4427089,3415.0
105,158.44712099524696,6,3032401,4430502,3413.0
106,158.6914881412018,1,3039234,4437335,6833.0
107,159.0578421647875,3,3049478,4447579,10244.0
108,159.11888924778836,3,3051185,4449286,1707.0
109,159.57686754006076,2,3063991,4462092,12806.0
110,159.60740896295633,2,3064845,4462946,854.0
111,159.6379503858519,1,3065699,4463800,854.0
112,159.66849180874746,2,3066553,4464654,854.0
113,159.72953889174832,1,3068260,4466361,1707.0
114,159.9737987493323,2,3075090,4473191,6830.0
115,159.99879693973512,2,3075789,4473890,699.0
116,160.03488159512344,1,3076798,4474899,1009.0
117,160.2180943697066,1,3081921,4480022,5123.0
118,160.23901560201796,4,3082506,4480607,585.0
119,160.24860002981188,2,3082774,4480875,268.0
120,160.27914145270745,1,3083628,4481729,854.0
121,160.34011701012776,4,3085333,4483434,1705.0
122,160.49285988739587,2,3089604,4487705,4271.0
123,160.52340131029143,1,3090458,4488559,854.0
124,160.70657832208428,2,3095580,4493681,5122.0
125,160.7981668279807,3,3098141,4496242,2561.0
126,160.9202967567727,2,3101556,4499657,3415.0
127,160.95083817966827,2,3102410,4500511,854.0
128,161.01188526266913,4,3104117,4502218,1707.0
129,161.07296810846026,3,3105825,4503926,1708.0
130,161.13397942867084,6,3107531,4505632,1706.0
131,161.16459237714696,1,3108387,4506488,856.0
132,161.19509803725225,3,3109240,4507341,853.0
133,161.31722796604424,2,3112655,4510756,3415.0
134,161.56148782362823,1,3119485,4517586,6830.0
135,161.59199348373352,3,3120338,4518439,853.0
136,161.65307632952465,3,3122046,4520147,1708.0
137,161.7141234125255,2,3123753,4521854,1707.0
138,161.86679476421307,3,3128022,4526123,4269.0
139,162.1721374675882,1,3136560,4534661,8538.0
140,162.35531447938104,3,3141682,4539783,5122.0
