"Freq., MHz","CST AF(f) + 5.6, dB (FreeSpace)",,,
201.08,13.6530835,,,
201.39,13.6595751,,,
201.7,13.6660336,,,
202.01,13.6724592,,,
202.32,13.6788522,,,
202.63,13.6852131,,,
202.94,13.6915421,,,
203.25,13.6978395,,,
203.56,13.7041057,,,
203.87,13.7103411,,,
204.18,13.716546,,,
204.49,13.7227207,,,
204.8,13.7288656,,,
205.11,13.734981,,,
205.42,13.7410675,,,
205.73,13.7471252,,,
206.04,13.7531546,,,
206.35,13.7591562,,,
206.66,13.7651302,,,
206.97,13.771077,,,
207.28,13.7769972,,,
207.59,13.782891,,,
207.9,13.788759,,,
208.21,13.7946015,,,
208.52,13.800419,,,
208.83,13.8062118,,,
209.14,13.8119805,,,
209.45,13.8177255,,,
209.76,13.8234471,,,
210.07,13.829146,,,
210.38,13.8348226,,,
210.69,13.8404773,,,
211,13.8461106,,,
211.31,13.851723,,,
211.62,13.8573149,,,
211.93,13.862887,,,
212.24,13.8684397,,,
212.55,13.8739735,,,
212.86,13.8794889,,,
213.17,13.8849864,,,
213.48,13.8904667,,,
213.79,13.8959302,,,
214.1,13.9013774,,,
214.41,13.906809,,,
214.72,13.9122255,,,
215.03,13.9176275,,,
215.34,13.9230156,,,
215.65,13.9283902,,,
215.96,13.9337521,,,
216.27,13.9391019,,,
216.58,13.94444,,,
216.89,13.9497673,,,
217.2,13.9550842,,,
217.51,13.9603915,,,
217.82,13.9656897,,,
218.13,13.9709795,,,
218.44,13.9762616,,,
218.75,13.9815367,,,
219.06,13.9868053,,,
219.37,13.9920683,,,
219.68,13.9973262,,,
219.99,14.0025798,,,
220.3,14.0078299,,,
220.61,14.013077,,,
220.92,14.018322,,,
221.23,14.0235655,,,
221.54,14.0288084,,,
221.85,14.0340513,,,
222.16,14.0392951,,,
222.47,14.0445404,,,
222.78,14.0497882,,,
223.09,14.0550391,,,
223.4,14.060294,,,
223.71,14.0655536,,,
224.02,14.0708189,,,
224.33,14.0760905,,,
224.64,14.0813694,,,
224.95,14.0866563,,,
225.26,14.0919522,,,
225.57,14.0972579,,,
225.88,14.1025743,,,
226.19,14.1079022,,,
226.5,14.1132425,,,
226.81,14.1185962,,,
227.12,14.1239641,,,
227.43,14.1293472,,,
227.74,14.1347463,,,
228.05,14.1401625,,,
228.36,14.1455966,,,
228.67,14.1510496,,,
228.98,14.1565225,,,
229.29,14.1620162,,,
229.6,14.1675318,,,
229.91,14.1730702,,,
230.22,14.1786324,,,
230.53,14.1842194,,,
230.84,14.1898323,,,
231.15,14.195472,,,
231.46,14.2011397,,,
231.77,14.2068363,,,
232.08,14.2125629,,,
232.39,14.2183206,,,
232.7,14.2241104,,,
233.01,14.2299334,,,
233.32,14.2357907,,,
233.63,14.2416835,,,
233.94,14.2476127,,,
234.25,14.2535796,,,
234.56,14.2595852,,,
234.87,14.2656307,,,
235.18,14.2717172,,,
235.49,14.2778459,,,
235.8,14.2840179,,,
236.11,14.2902343,,,
236.42,14.2964965,,,
236.73,14.3028054,,,
237.04,14.3091624,,,
237.35,14.3155686,,,
237.66,14.3220252,,,
237.97,14.3285334,,,
238.28,14.3350944,,,
238.59,14.3417095,,,
238.9,14.3483799,,,
239.21,14.3551067,,,
239.52,14.3618913,,,
239.83,14.368735,,,
240.14,14.3756388,,,
240.45,14.3826042,,,
240.76,14.3896323,,,
241.07,14.3967244,,,
241.38,14.4038819,,,
241.69,14.4111059,,,
242,14.4183978,,,
242.31,14.4257588,,,
242.62,14.4331903,,,
242.93,14.4406935,,,
243.24,14.4482697,,,
243.55,14.4559202,,,
243.86,14.4636463,,,
244.17,14.4714494,,,
244.48,14.4793307,,,
244.79,14.4872915,,,
245.1,14.4953331,,,
245.41,14.503457,,,
245.72,14.5116642,,,
246.03,14.5199563,,,
246.34,14.5283345,,,
246.65,14.5368,,,
246.96,14.5453543,,,
247.27,14.5539986,,,
247.58,14.5627342,,,
247.89,14.5715625,,,
248.2,14.5804847,,,
248.51,14.5895022,,,
248.82,14.5986162,,,
249.13,14.6078281,,,
249.44,14.6171392,,,
249.75,14.6265507,,,
250.06,14.6360639,,,
250.37,14.6456801,,,
250.68,14.6554006,,,
250.99,14.6652267,,,
251.3,14.6751595,,,
251.61,14.6852005,,,
251.92,14.6953508,,,
252.23,14.7056117,,,
252.54,14.7159844,,,
252.85,14.7264701,,,
253.16,14.7370701,,,
253.47,14.7477855,,,
253.78,14.7586177,,,
254.09,14.7695677,,,
254.4,14.7806367,,,
254.71,14.791826,,,
255.02,14.8031366,,,
255.33,14.8145697,,,
255.64,14.8261265,,,
255.95,14.8378081,,,
256.26,14.8496155,,,
256.57,14.8615499,,,
256.88,14.8736124,,,
257.19,14.8858039,,,
257.5,14.8981257,,,
257.81,14.9105786,,,
258.12,14.9231637,,,
258.43,14.935882,,,
258.74,14.9487345,,,
259.05,14.9617222,,,
259.36,14.9748459,,,
259.67,14.9881067,,,
259.98,15.0015054,,,
260.29,15.0150429,,,
260.6,15.0287201,,,
260.91,15.0425379,,,
261.22,15.056497,,,
261.53,15.0705983,,,
261.84,15.0848425,,,
262.15,15.0992305,,,
262.46,15.1137629,,,
262.77,15.1284404,,,
263.08,15.1432638,,,
263.39,15.1582338,,,
263.7,15.1733509,,,
264.01,15.1886158,,,
264.32,15.2040291,,,
264.63,15.2195913,,,
264.94,15.235303,,,
265.25,15.2511648,,,
265.56,15.267177,,,
265.87,15.2833402,,,
266.18,15.2996548,,,
266.49,15.3161212,,,
266.8,15.3327397,,,
267.11,15.3495109,,,
267.42,15.3664348,,,
267.73,15.383512,,,
268.04,15.4007425,,,
268.35,15.4181268,,,
268.66,15.4356649,,,
268.97,15.453357,,,
269.28,15.4712034,,,
269.59,15.489204,,,
269.9,15.5073591,,,
270.21,15.5256687,,,
270.52,15.5441327,,,
270.83,15.5627513,,,
271.14,15.5815243,,,
271.45,15.600452,,,
271.76,15.619533,,,
272.07,15.638769,,,
272.38,15.658159,,,
272.69,15.677703,,,
273,15.6974,,,
273.31,15.717251,,,
273.62,15.737255,,,
273.93,15.757412,,,
274.24,15.777721,,,
274.55,15.798182,,,
274.86,15.818795,,,
275.17,15.839559,,,
275.48,15.860474,,,
275.79,15.881539,,,
276.1,15.902754,,,
276.41,15.924118,,,
276.72,15.945631,,,
277.03,15.967292,,,
277.34,15.9891,,,
277.65,16.011054,,,
277.96,16.033155,,,
278.27,16.055401,,,
278.58,16.077792,,,
278.89,16.100326,,,
279.2,16.123004,,,
279.51,16.145823,,,
279.82,16.168783,,,
280.13,16.191884,,,
280.44,16.215124,,,
280.75,16.238502,,,
281.06,16.262018,,,
281.37,16.285671,,,
281.68,16.309458,,,
281.99,16.33338,,,
282.3,16.357436,,,
282.61,16.381623,,,
282.92,16.405942,,,
283.23,16.43039,,,
283.54,16.454967,,,
283.85,16.479672,,,
284.16,16.504502,,,
284.47,16.529458,,,
284.78,16.554538,,,
285.09,16.57974,,,
285.4,16.605063,,,
285.71,16.630506,,,
286.02,16.656068,,,
286.33,16.681746,,,
286.64,16.707541,,,
286.95,16.73345,,,
287.26,16.759471,,,
287.57,16.785605,,,
287.88,16.811848,,,
288.19,16.8382,,,
288.5,16.864659,,,
288.81,16.891224,,,
289.12,16.917893,,,
289.43,16.944664,,,
289.74,16.971536,,,
290.05,16.998508,,,
290.36,17.025578,,,
290.67,17.052744,,,
290.98,17.080005,,,
291.29,17.107359,,,
291.6,17.134804,,,
291.91,17.16234,,,
292.22,17.189964,,,
292.53,17.217674,,,
292.84,17.24547,,,
293.15,17.273349,,,
293.46,17.301309,,,
293.77,17.32935,,,
294.08,17.357469,,,
294.39,17.385665,,,
294.7,17.413936,,,
295.01,17.44228,,,
295.32,17.470696,,,
295.63,17.499182,,,
295.94,17.527736,,,
296.25,17.556356,,,
296.56,17.585042,,,
296.87,17.613791,,,
297.18,17.642601,,,
297.49,17.671471,,,
297.8,17.700399,,,
298.11,17.729383,,,
298.42,17.758422,,,
298.73,17.787514,,,
299.04,17.816658,,,
299.35,17.845851,,,
299.66,17.875091,,,
299.97,17.904378,,,
300.28,17.93371,,,
300.59,17.963084,,,
300.9,17.992499,,,
301.21,18.021954,,,
301.52,18.051447,,,
301.83,18.080975,,,
302.14,18.110538,,,
302.45,18.140134,,,
302.76,18.169761,,,
303.07,18.199418,,,
303.38,18.229102,,,
303.69,18.258813,,,
304,18.288548,,,
304.31,18.318306,,,
304.62,18.348086,,,
304.93,18.377885,,,
305.24,18.407703,,,
305.55,18.437537,,,
305.86,18.467386,,,
306.17,18.497249,,,
306.48,18.527124,,,
306.79,18.557009,,,
307.1,18.586903,,,
307.41,18.616805,,,
307.72,18.646712,,,
308.03,18.676623,,,
308.34,18.706538,,,
308.65,18.736454,,,
308.96,18.766369,,,
309.27,18.796284,,,
309.58,18.826195,,,
309.89,18.856102,,,
310.2,18.886003,,,
310.51,18.915897,,,
310.82,18.945782,,,
311.13,18.975657,,,
