Frequency,S11_Magnitude,S11_Phase
108892000,0.8039805893,-12.62435314
109114000,0.7554746355,-15.02259898
109336000,0.6677438417,-15.89662405
109558000,0.5661561598,-5.467061319
109780000,0.7249002762,8.85782734
110002000,0.8872803446,1.677575637
110224000,0.9250725202,-6.32251154
110446000,0.9219574644,-13.16931164
110668000,0.8937713956,-21.60900287
110890000,0.7082798876,-42.10561211
111112000,0.661544739,13.21878095
111334000,0.8330073785,-5.224736503
111556000,0.8342754243,-12.55775693
111778000,0.8095656166,-17.35057445
112000000,0.7681795356,-21.06616884
112222000,0.7083148416,-23.59088788
112444000,0.6327738314,-23.38522477
112666000,0.5710113184,-17.48403092
112888000,0.5864209414,-7.669252972
113110000,0.6779626842,-3.201747299
113332000,0.7714613558,-5.159610183
113554000,0.8327138696,-9.851916869
113776000,0.8637721954,-15.43944242
113998000,0.8696903449,-21.79757721
114220000,0.8466973777,-29.55915167
114442000,0.7656223632,-40.15206742
114664000,0.5373494109,-52.57321217
114886000,0.2806993045,-16.57353641
115108000,0.5178691172,6.355823024
115330000,0.6515373854,0.04845179104
115552000,0.6942558427,-4.986198539
115774000,0.7050134636,-7.436890036
115996000,0.7136234415,-7.95605304
116218000,0.7338737962,-7.746887268
116440000,0.7650676171,-8.024706786
116662000,0.798077446,-9.121034515
116884000,0.8271385853,-10.77140336
117106000,0.8496368631,-12.77140005
117328000,0.866535311,-14.80758566
117550000,0.8786334934,-16.86041398
117772000,0.8869803779,-18.86211526
117994000,0.8922700887,-20.76157886
118216000,0.8953531673,-22.60974671
118438000,0.8959770621,-24.42392725
118660000,0.8946893797,-26.16121784
118882000,0.8909103022,-27.87116483
119104000,0.88484025,-29.51561295
119326000,0.875712206,-31.04283472
119548000,0.8631784307,-32.39212288
119770000,0.8475488725,-33.3616369
119992000,0.8318711716,-33.77709428
120214000,0.8228532955,-33.55581623
120436000,0.8252897424,-33.04427348
120658000,0.8396044718,-32.95624569
120880000,0.8578253842,-33.56810212
121102000,0.8744190395,-34.71421884
121324000,0.886777107,-36.24963563
121546000,0.8953770993,-37.92781448
121768000,0.9004654682,-39.74556812
121990000,0.9024197946,-41.65227453
122212000,0.9009315742,-43.70267428
122434000,0.8944834899,-45.99557286
122656000,0.877670808,-48.68687186
122878000,0.8336851012,-51.7059785
